Thu Jan  8 23:08:08 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=127
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=75
Thu Jan  8 23:08:11 2026 | 10.17.192.107 | NORMAL | Confidence=0.05 | Bytes=91
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:11 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:11 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:11 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=87
Thu Jan  8 23:08:11 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:08:12 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=87
Thu Jan  8 23:08:12 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
